# time (s)	h_+ (strain)	h_x (strain)
-1.427290746	-2.004701e-23	2.381835e-22
-1.427229711	-1.639023e-23	2.389491e-22
-1.427168676	-1.270866e-23	2.396621e-22
-1.427107641	-9.002906e-24	2.403218e-22
-1.427046606	-5.273574e-24	2.409276e-22
-1.426985571	-1.521295e-24	2.414787e-22
-1.426924536	2.253286e-24	2.419746e-22
-1.426863500	6.049511e-24	2.424144e-22
-1.426802465	9.866704e-24	2.427977e-22
-1.426741430	1.370417e-23	2.431236e-22
-1.426680395	1.756121e-23	2.433917e-22
-1.426619360	2.143710e-23	2.436011e-22
-1.426558325	2.533109e-23	2.437512e-22
-1.426497289	2.924243e-23	2.438415e-22
-1.426436254	3.317035e-23	2.438712e-22
-1.426375219	3.711405e-23	2.438398e-22
-1.426314184	4.107273e-23	2.437465e-22
-1.426253149	4.504557e-23	2.435908e-22
-1.426192114	4.903172e-23	2.433721e-22
-1.426131079	5.303033e-23	2.430896e-22
-1.426070043	5.704052e-23	2.427429e-22
-1.426009008	6.106139e-23	2.423313e-22
-1.425947973	6.509204e-23	2.418542e-22
-1.425886938	6.913154e-23	2.413109e-22
-1.425825903	7.317893e-23	2.407010e-22
-1.425764868	7.723325e-23	2.400238e-22
-1.425703832	8.129351e-23	2.392789e-22
-1.425642797	8.535871e-23	2.384655e-22
-1.425581762	8.942783e-23	2.375832e-22
-1.425520727	9.349981e-23	2.366314e-22
-1.425459692	9.757361e-23	2.356096e-22
-1.425398657	1.016481e-22	2.345173e-22
-1.425337621	1.057223e-22	2.333540e-22
-1.425276586	1.097949e-22	2.321191e-22
-1.425215551	1.138649e-22	2.308122e-22
-1.425154516	1.179311e-22	2.294329e-22
-1.425093481	1.219924e-22	2.279805e-22
-1.425032446	1.260474e-22	2.264548e-22
-1.424971411	1.300951e-22	2.248552e-22
-1.424910375	1.341341e-22	2.231814e-22
-1.424849340	1.381632e-22	2.214329e-22
-1.424788305	1.421812e-22	2.196094e-22
-1.424727270	1.461866e-22	2.177104e-22
-1.424666235	1.501782e-22	2.157357e-22
-1.424605200	1.541547e-22	2.136849e-22
-1.424544164	1.581147e-22	2.115576e-22
-1.424483129	1.620568e-22	2.093536e-22
-1.424422094	1.659796e-22	2.070726e-22
-1.424361059	1.698816e-22	2.047143e-22
-1.424300024	1.737614e-22	2.022785e-22
-1.424238989	1.776177e-22	1.997649e-22
-1.424177954	1.814487e-22	1.971734e-22
-1.424116918	1.852532e-22	1.945037e-22
-1.424055883	1.890294e-22	1.917558e-22
-1.423994848	1.927760e-22	1.889295e-22
-1.423933813	1.964913e-22	1.860247e-22
-1.423872778	2.001737e-22	1.830413e-22
-1.423811743	2.038216e-22	1.799793e-22
-1.423750707	2.074334e-22	1.768387e-22
-1.423689672	2.110075e-22	1.736193e-22
-1.423628637	2.145422e-22	1.703214e-22
-1.423567602	2.180357e-22	1.669449e-22
-1.423506567	2.214865e-22	1.634899e-22
-1.423445532	2.248927e-22	1.599566e-22
-1.423384496	2.282526e-22	1.563452e-22
-1.423323461	2.315645e-22	1.526557e-22
-1.423262426	2.348266e-22	1.488884e-22
-1.423201391	2.380371e-22	1.450437e-22
-1.423140356	2.411942e-22	1.411217e-22
-1.423079321	2.442961e-22	1.371228e-22
-1.423018286	2.473408e-22	1.330474e-22
-1.422957250	2.503267e-22	1.288959e-22
-1.422896215	2.532517e-22	1.246687e-22
-1.422835180	2.561140e-22	1.203663e-22
-1.422774145	2.589117e-22	1.159893e-22
-1.422713110	2.616429e-22	1.115382e-22
-1.422652075	2.643057e-22	1.070136e-22
-1.422591039	2.668980e-22	1.024162e-22
-1.422530004	2.694181e-22	9.774668e-23
-1.422468969	2.718638e-22	9.300580e-23
-1.422407934	2.742333e-22	8.819435e-23
-1.422346899	2.765245e-22	8.331317e-23
-1.422285864	2.787355e-22	7.836315e-23
-1.422224829	2.808643e-22	7.334525e-23
-1.422163793	2.829088e-22	6.826045e-23
-1.422102758	2.848671e-22	6.310980e-23
-1.422041723	2.867371e-22	5.789440e-23
-1.421980688	2.885169e-22	5.261541e-23
-1.421919653	2.902045e-22	4.727403e-23
-1.421858618	2.917977e-22	4.187153e-23
-1.421797582	2.932946e-22	3.640923e-23
-1.421736547	2.946932e-22	3.088851e-23
-1.421675512	2.959915e-22	2.531081e-23
-1.421614477	2.971874e-22	1.967762e-23
-1.421553442	2.982790e-22	1.399051e-23
-1.421492407	2.992643e-22	8.251092e-24
-1.421431371	3.001412e-22	2.461058e-24
-1.421370336	3.009079e-22	-3.377846e-24
-1.421309301	3.015623e-22	-9.263808e-24
-1.421248266	3.021025e-22	-1.519495e-23
-1.421187231	3.025265e-22	-2.116934e-23
-1.421126196	3.028326e-22	-2.718497e-23
-1.421065161	3.030186e-22	-3.323976e-23
-1.421004125	3.030829e-22	-3.933157e-23
-1.420943090	3.030235e-22	-4.545818e-23
-1.420882055	3.028386e-22	-5.161731e-23
-1.420821020	3.025265e-22	-5.780661e-23
-1.420759985	3.020852e-22	-6.402367e-23
-1.420698950	3.015132e-22	-7.026598e-23
-1.420637914	3.008087e-22	-7.653099e-23
-1.420576879	2.999700e-22	-8.281607e-23
-1.420515844	2.989955e-22	-8.911850e-23
-1.420454809	2.978836e-22	-9.543551e-23
-1.420393774	2.966328e-22	-1.017642e-22
-1.420332739	2.952416e-22	-1.081018e-22
-1.420271704	2.937085e-22	-1.144451e-22
-1.420210668	2.920322e-22	-1.207912e-22
-1.420149633	2.902113e-22	-1.271369e-22
-1.420088598	2.882444e-22	-1.334790e-22
-1.420027563	2.861305e-22	-1.398142e-22
-1.419966528	2.838683e-22	-1.461391e-22
-1.419905493	2.814567e-22	-1.524504e-22
-1.419844457	2.788948e-22	-1.587445e-22
-1.419783422	2.761815e-22	-1.650178e-22
-1.419722387	2.733159e-22	-1.712668e-22
-1.419661352	2.702974e-22	-1.774878e-22
-1.419600317	2.671251e-22	-1.836769e-22
-1.419539282	2.637985e-22	-1.898303e-22
-1.419478246	2.603169e-22	-1.959442e-22
-1.419417211	2.566800e-22	-2.020145e-22
-1.419356176	2.528874e-22	-2.080373e-22
-1.419295141	2.489387e-22	-2.140085e-22
-1.419234106	2.448339e-22	-2.199239e-22
-1.419173071	2.405729e-22	-2.257793e-22
-1.419112036	2.361558e-22	-2.315705e-22
-1.419051000	2.315826e-22	-2.372932e-22
-1.418989965	2.268537e-22	-2.429430e-22
-1.418928930	2.219696e-22	-2.485155e-22
-1.418867895	2.169306e-22	-2.540063e-22
-1.418806860	2.117374e-22	-2.594110e-22
-1.418745825	2.063909e-22	-2.647249e-22
-1.418684789	2.008918e-22	-2.699435e-22
-1.418623754	1.952413e-22	-2.750622e-22
-1.418562719	1.894405e-22	-2.800765e-22
-1.418501684	1.834907e-22	-2.849817e-22
-1.418440649	1.773933e-22	-2.897731e-22
-1.418379614	1.711501e-22	-2.944460e-22
-1.418318579	1.647626e-22	-2.989957e-22
-1.418257543	1.582328e-22	-3.034176e-22
-1.418196508	1.515628e-22	-3.077070e-22
-1.418135473	1.447548e-22	-3.118591e-22
-1.418074438	1.378111e-22	-3.158693e-22
-1.418013403	1.307342e-22	-3.197329e-22
-1.417952368	1.235269e-22	-3.234452e-22
-1.417891332	1.161920e-22	-3.270016e-22
-1.417830297	1.087325e-22	-3.303974e-22
-1.417769262	1.011516e-22	-3.336281e-22
-1.417708227	9.345275e-23	-3.366892e-22
-1.417647192	8.563936e-23	-3.395762e-22
-1.417586157	7.771518e-23	-3.422846e-22
-1.417525121	6.968407e-23	-3.448101e-22
-1.417464086	6.155008e-23	-3.471483e-22
-1.417403051	5.331744e-23	-3.492950e-22
-1.417342016	4.499054e-23	-3.512460e-22
-1.417280981	3.657395e-23	-3.529974e-22
-1.417219946	2.807239e-23	-3.545450e-22
-1.417158911	1.949078e-23	-3.558851e-22
-1.417097875	1.083420e-23	-3.570138e-22
-1.417036840	2.107895e-24	-3.579275e-22
-1.416975805	-6.682703e-24	-3.586226e-22
-1.416914770	-1.553202e-23	-3.590959e-22
-1.416853735	-2.443432e-23	-3.593439e-22
-1.416792700	-3.338371e-23	-3.593636e-22
-1.416731664	-4.237411e-23	-3.591521e-22
-1.416670629	-5.139930e-23	-3.587064e-22
-1.416609594	-6.045291e-23	-3.580241e-22
-1.416548559	-6.952846e-23	-3.571026e-22
-1.416487524	-7.861928e-23	-3.559397e-22
-1.416426489	-8.771860e-23	-3.545332e-22
-1.416365454	-9.681948e-23	-3.528813e-22
-1.416304418	-1.059149e-22	-3.509824e-22
-1.416243383	-1.149976e-22	-3.488348e-22
-1.416182348	-1.240605e-22	-3.464375e-22
-1.416121313	-1.330960e-22	-3.437893e-22
-1.416060278	-1.420968e-22	-3.408895e-22
-1.415999243	-1.510552e-22	-3.377375e-22
-1.415938207	-1.599637e-22	-3.343330e-22
-1.415877172	-1.688144e-22	-3.306760e-22
-1.415816137	-1.775996e-22	-3.267666e-22
-1.415755102	-1.863114e-22	-3.226054e-22
-1.415694067	-1.949419e-22	-3.181929e-22
-1.415633032	-2.034832e-22	-3.135304e-22
-1.415571996	-2.119273e-22	-3.086189e-22
-1.415510961	-2.202663e-22	-3.034600e-22
-1.415449926	-2.284921e-22	-2.980556e-22
-1.415388891	-2.365967e-22	-2.924079e-22
-1.415327856	-2.445722e-22	-2.865191e-22
-1.415266821	-2.524107e-22	-2.803920e-22
-1.415205786	-2.601041e-22	-2.740296e-22
-1.415144750	-2.676447e-22	-2.674352e-22
-1.415083715	-2.750247e-22	-2.606122e-22
-1.415022680	-2.822362e-22	-2.535647e-22
-1.414961645	-2.892718e-22	-2.462967e-22
-1.414900610	-2.961238e-22	-2.388126e-22
-1.414839575	-3.027847e-22	-2.311173e-22
-1.414778539	-3.092474e-22	-2.232157e-22
-1.414717504	-3.155046e-22	-2.151131e-22
-1.414656469	-3.215492e-22	-2.068152e-22
-1.414595434	-3.273744e-22	-1.983277e-22
-1.414534399	-3.329736e-22	-1.896569e-22
-1.414473364	-3.383401e-22	-1.808091e-22
-1.414412329	-3.434677e-22	-1.717910e-22
-1.414351293	-3.483502e-22	-1.626094e-22
-1.414290258	-3.529818e-22	-1.532717e-22
-1.414229223	-3.573568e-22	-1.437851e-22
-1.414168188	-3.614697e-22	-1.341574e-22
-1.414107153	-3.653155e-22	-1.243963e-22
-1.414046118	-3.688891e-22	-1.145101e-22
-1.413985082	-3.721859e-22	-1.045068e-22
-1.413924047	-3.752017e-22	-9.439510e-23
-1.413863012	-3.779323e-22	-8.418357e-23
-1.413801977	-3.803740e-22	-7.388107e-23
-1.413740942	-3.825232e-22	-6.349657e-23
-1.413679907	-3.843770e-22	-5.303924e-23
-1.413618871	-3.859324e-22	-4.251834e-23
-1.413557836	-3.871869e-22	-3.194327e-23
-1.413496801	-3.881385e-22	-2.132356e-23
-1.413435766	-3.887853e-22	-1.066879e-23
-1.413374731	-3.891258e-22	1.134282e-26
-1.413313696	-3.891590e-22	1.070708e-23
-1.413252661	-3.888840e-22	2.140861e-23
-1.413191625	-3.883005e-22	3.210609e-23
-1.413130590	-3.874084e-22	4.278965e-23
-1.413069555	-3.862081e-22	5.344942e-23
-1.413008520	-3.847001e-22	6.407551e-23
-1.412947485	-3.828856e-22	7.465808e-23
-1.412886450	-3.807658e-22	8.518731e-23
-1.412825414	-3.783427e-22	9.565343e-23
-1.412764379	-3.756182e-22	1.060468e-22
-1.412703344	-3.725949e-22	1.163577e-22
-1.412642309	-3.692755e-22	1.265766e-22
-1.412581274	-3.656632e-22	1.366943e-22
-1.412520239	-3.617614e-22	1.467012e-22
-1.412459204	-3.575741e-22	1.565884e-22
-1.412398168	-3.531053e-22	1.663469e-22
-1.412337133	-3.483595e-22	1.759677e-22
-1.412276098	-3.433416e-22	1.854422e-22
-1.412215063	-3.380565e-22	1.947620e-22
-1.412154028	-3.325097e-22	2.039189e-22
-1.412092993	-3.267069e-22	2.129047e-22
-1.412031957	-3.206540e-22	2.217116e-22
-1.411970922	-3.143571e-22	2.303322e-22
-1.411909887	-3.078229e-22	2.387589e-22
-1.411848852	-3.010580e-22	2.469849e-22
-1.411787817	-2.940693e-22	2.550032e-22
-1.411726782	-2.868641e-22	2.628073e-22
-1.411665746	-2.794497e-22	2.703910e-22
-1.411604711	-2.718336e-22	2.777482e-22
-1.411543676	-2.640237e-22	2.848734e-22
-1.411482641	-2.560278e-22	2.917612e-22
-1.411421606	-2.478541e-22	2.984065e-22
-1.411360571	-2.395108e-22	3.048045e-22
-1.411299536	-2.310062e-22	3.109508e-22
-1.411238500	-2.223489e-22	3.168413e-22
-1.411177465	-2.135473e-22	3.224722e-22
-1.411116430	-2.046102e-22	3.278401e-22
-1.411055395	-1.955462e-22	3.329418e-22
-1.410994360	-1.863643e-22	3.377744e-22
-1.410933325	-1.770733e-22	3.423356e-22
-1.410872289	-1.676819e-22	3.466230e-22
-1.410811254	-1.581992e-22	3.506349e-22
-1.410750219	-1.486341e-22	3.543698e-22
-1.410689184	-1.389954e-22	3.578265e-22
-1.410628149	-1.292921e-22	3.610040e-22
-1.410567114	-1.195330e-22	3.639018e-22
-1.410506079	-1.097270e-22	3.665196e-22
-1.410445043	-9.988272e-23	3.688576e-22
-1.410384008	-9.000898e-23	3.709160e-22
-1.410322973	-8.011437e-23	3.726955e-22
-1.410261938	-7.020743e-23	3.741970e-22
-1.410200903	-6.029659e-23	3.754217e-22
-1.410139868	-5.039019e-23	3.763712e-22
-1.410078832	-4.049644e-23	3.770471e-22
-1.410017797	-3.062342e-23	3.774516e-22
-1.409956762	-2.077911e-23	3.775868e-22
-1.409895727	-1.097128e-23	3.774554e-22
-1.409834692	-1.207612e-24	3.770600e-22
-1.409773657	8.504404e-24	3.764037e-22
-1.409712621	1.815743e-23	3.754897e-22
-1.409651586	2.774430e-23	3.743214e-22
-1.409590551	3.725805e-23	3.729025e-22
-1.409529516	4.669187e-23	3.712367e-22
-1.409468481	5.603914e-23	3.693282e-22
-1.409407446	6.529345e-23	3.671810e-22
-1.409346411	7.444859e-23	3.647996e-22
-1.409285375	8.349853e-23	3.621884e-22
-1.409224340	9.243746e-23	3.593522e-22
-1.409163305	1.012598e-22	3.562956e-22
-1.409102270	1.099600e-22	3.530238e-22
-1.409041235	1.185331e-22	3.495417e-22
-1.408980200	1.269740e-22	3.458544e-22
-1.408919164	1.352780e-22	3.419673e-22
-1.408858129	1.434405e-22	3.378858e-22
-1.408797094	1.514572e-22	3.336151e-22
-1.408736059	1.593240e-22	3.291610e-22
-1.408675024	1.670369e-22	3.245290e-22
-1.408613989	1.745923e-22	3.197247e-22
-1.408552954	1.819868e-22	3.147538e-22
-1.408491918	1.892170e-22	3.096221e-22
-1.408430883	1.962800e-22	3.043353e-22
-1.408369848	2.031728e-22	2.988993e-22
-1.408308813	2.098929e-22	2.933199e-22
-1.408247778	2.164378e-22	2.876028e-22
-1.408186743	2.228053e-22	2.817541e-22
-1.408125707	2.289934e-22	2.757794e-22
-1.408064672	2.350003e-22	2.696846e-22
-1.408003637	2.408242e-22	2.634756e-22
-1.407942602	2.464638e-22	2.571581e-22
-1.407881567	2.519178e-22	2.507379e-22
-1.407820532	2.571850e-22	2.442207e-22
-1.407759496	2.622647e-22	2.376123e-22
-1.407698461	2.671561e-22	2.309182e-22
-1.407637426	2.718586e-22	2.241442e-22
-1.407576391	2.763718e-22	2.172957e-22
-1.407515356	2.806955e-22	2.103782e-22
-1.407454321	2.848296e-22	2.033971e-22
-1.407393286	2.887741e-22	1.963580e-22
-1.407332250	2.925294e-22	1.892660e-22
-1.407271215	2.960958e-22	1.821263e-22
-1.407210180	2.994738e-22	1.749442e-22
-1.407149145	3.026640e-22	1.677246e-22
-1.407088110	3.056672e-22	1.604727e-22
-1.407027075	3.084843e-22	1.531933e-22
-1.406966039	3.111163e-22	1.458911e-22
-1.406905004	3.135644e-22	1.385711e-22
-1.406843969	3.158297e-22	1.312377e-22
-1.406782934	3.179137e-22	1.238956e-22
-1.406721899	3.198178e-22	1.165491e-22
-1.406660864	3.215436e-22	1.092028e-22
-1.406599829	3.230927e-22	1.018607e-22
-1.406538793	3.244667e-22	9.452718e-23
-1.406477758	3.256677e-22	8.720619e-23
-1.406416723	3.266973e-22	7.990172e-23
-1.406355688	3.275577e-22	7.261764e-23
-1.406294653	3.282509e-22	6.535772e-23
-1.406233618	3.287790e-22	5.812562e-23
-1.406172582	3.291441e-22	5.092490e-23
-1.406111547	3.293485e-22	4.375903e-23
-1.406050512	3.293946e-22	3.663138e-23
-1.405989477	3.292846e-22	2.954521e-23
-1.405928442	3.290209e-22	2.250366e-23
-1.405867407	3.286061e-22	1.550981e-23
-1.405806371	3.280425e-22	8.566613e-24
-1.405745336	3.273328e-22	1.676940e-24
-1.405684301	3.264794e-22	-5.156448e-24
-1.405623266	3.254850e-22	-1.193089e-23
-1.405562231	3.243521e-22	-1.864381e-23
-1.405501196	3.230835e-22	-2.529275e-23
-1.405440161	3.216818e-22	-3.187532e-23
-1.405379125	3.201496e-22	-3.838922e-23
-1.405318090	3.184898e-22	-4.483227e-23
-1.405257055	3.167049e-22	-5.120238e-23
-1.405196020	3.147979e-22	-5.749752e-23
-1.405134985	3.127713e-22	-6.371579e-23
-1.405073950	3.106279e-22	-6.985534e-23
-1.405012914	3.083706e-22	-7.591442e-23
-1.404951879	3.060020e-22	-8.189136e-23
-1.404890844	3.035249e-22	-8.778460e-23
-1.404829809	3.009421e-22	-9.359264e-23
-1.404768774	2.982563e-22	-9.931405e-23
-1.404707739	2.954704e-22	-1.049475e-22
-1.404646704	2.925869e-22	-1.104917e-22
-1.404585668	2.896087e-22	-1.159456e-22
-1.404524633	2.865384e-22	-1.213079e-22
-1.404463598	2.833789e-22	-1.265776e-22
-1.404402563	2.801327e-22	-1.317538e-22
-1.404341528	2.768026e-22	-1.368357e-22
-1.404280493	2.733913e-22	-1.418222e-22
-1.404219457	2.699013e-22	-1.467128e-22
-1.404158422	2.663354e-22	-1.515067e-22
-1.404097387	2.626960e-22	-1.562032e-22
-1.404036352	2.589859e-22	-1.608018e-22
-1.403975317	2.552076e-22	-1.653021e-22
-1.403914282	2.513636e-22	-1.697034e-22
-1.403853246	2.474564e-22	-1.740056e-22
-1.403792211	2.434886e-22	-1.782081e-22
-1.403731176	2.394626e-22	-1.823107e-22
-1.403670141	2.353809e-22	-1.863133e-22
-1.403609106	2.312458e-22	-1.902156e-22
-1.403548071	2.270599e-22	-1.940174e-22
-1.403487036	2.228253e-22	-1.977188e-22
-1.403426000	2.185445e-22	-2.013197e-22
-1.403364965	2.142198e-22	-2.048200e-22
-1.403303930	2.098534e-22	-2.082199e-22
-1.403242895	2.054476e-22	-2.115195e-22
-1.403181860	2.010046e-22	-2.147188e-22
-1.403120825	1.965266e-22	-2.178182e-22
-1.403059789	1.920157e-22	-2.208177e-22
-1.402998754	1.874741e-22	-2.237177e-22
-1.402937719	1.829038e-22	-2.265185e-22
-1.402876684	1.783070e-22	-2.292203e-22
-1.402815649	1.736856e-22	-2.318236e-22
-1.402754614	1.690416e-22	-2.343287e-22
-1.402693579	1.643770e-22	-2.367361e-22
-1.402632543	1.596937e-22	-2.390463e-22
-1.402571508	1.549937e-22	-2.412597e-22
-1.402510473	1.502787e-22	-2.433768e-22
-1.402449438	1.455507e-22	-2.453982e-22
-1.402388403	1.408113e-22	-2.473245e-22
-1.402327368	1.360625e-22	-2.491563e-22
-1.402266332	1.313059e-22	-2.508941e-22
-1.402205297	1.265432e-22	-2.525386e-22
-1.402144262	1.217762e-22	-2.540905e-22
-1.402083227	1.170064e-22	-2.555505e-22
-1.402022192	1.122354e-22	-2.569193e-22
-1.401961157	1.074649e-22	-2.581976e-22
-1.401900121	1.026964e-22	-2.593861e-22
-1.401839086	9.793136e-23	-2.604856e-22
-1.401778051	9.317133e-23	-2.614969e-22
-1.401717016	8.841773e-23	-2.624208e-22
-1.401655981	8.367201e-23	-2.632581e-22
-1.401594946	7.893555e-23	-2.640095e-22
-1.401533911	7.420970e-23	-2.646761e-22
-1.401472875	6.949582e-23	-2.652585e-22
-1.401411840	6.479521e-23	-2.657576e-22
-1.401350805	6.010913e-23	-2.661744e-22
-1.401289770	5.543883e-23	-2.665098e-22
-1.401228735	5.078554e-23	-2.667645e-22
-1.401167700	4.615045e-23	-2.669395e-22
-1.401106664	4.153470e-23	-2.670358e-22
-1.401045629	3.693944e-23	-2.670542e-22
-1.400984594	3.236578e-23	-2.669956e-22
-1.400923559	2.781478e-23	-2.668611e-22
-1.400862524	2.328751e-23	-2.666515e-22
-1.400801489	1.878498e-23	-2.663677e-22
-1.400740454	1.430820e-23	-2.660109e-22
-1.400679418	9.858145e-24	-2.655818e-22
-1.400618383	5.435754e-24	-2.650815e-22
-1.400557348	1.041954e-24	-2.645109e-22
-1.400496313	-3.322358e-24	-2.638710e-22
-1.400435278	-7.656311e-24	-2.631628e-22
-1.400374243	-1.195906e-23	-2.623871e-22
-1.400313207	-1.622977e-23	-2.615452e-22
-1.400252172	-2.046765e-23	-2.606378e-22
-1.400191137	-2.467192e-23	-2.596659e-22
-1.400130102	-2.884183e-23	-2.586307e-22
-1.400069067	-3.297664e-23	-2.575329e-22
-1.400008032	-3.707564e-23	-2.563737e-22
-1.399946996	-4.113814e-23	-2.551540e-22
-1.399885961	-4.516349e-23	-2.538747e-22
-1.399824926	-4.915103e-23	-2.525370e-22
-1.399763891	-5.310013e-23	-2.511416e-22
-1.399702856	-5.701021e-23	-2.496896e-22
-1.399641821	-6.088067e-23	-2.481821e-22
-1.399580786	-6.471096e-23	-2.466199e-22
-1.399519750	-6.850053e-23	-2.450041e-22
-1.399458715	-7.224885e-23	-2.433355e-22
-1.399397680	-7.595542e-23	-2.416153e-22
-1.399336645	-7.961976e-23	-2.398442e-22
-1.399275610	-8.324139e-23	-2.380234e-22
-1.399214575	-8.681986e-23	-2.361537e-22
-1.399153539	-9.035474e-23	-2.342362e-22
-1.399092504	-9.384562e-23	-2.322717e-22
-1.399031469	-9.729211e-23	-2.302612e-22
-1.398970434	-1.006938e-22	-2.282057e-22
-1.398909399	-1.040504e-22	-2.261060e-22
-1.398848364	-1.073615e-22	-2.239632e-22
-1.398787329	-1.106267e-22	-2.217782e-22
-1.398726293	-1.138458e-22	-2.195518e-22
-1.398665258	-1.170185e-22	-2.172851e-22
-1.398604223	-1.201445e-22	-2.149789e-22
-1.398543188	-1.232235e-22	-2.126341e-22
-1.398482153	-1.262552e-22	-2.102516e-22
-1.398421118	-1.292394e-22	-2.078324e-22
-1.398360082	-1.321759e-22	-2.053773e-22
-1.398299047	-1.350644e-22	-2.028872e-22
-1.398238012	-1.379049e-22	-2.003630e-22
-1.398176977	-1.406970e-22	-1.978056e-22
-1.398115942	-1.434406e-22	-1.952159e-22
-1.398054907	-1.461356e-22	-1.925947e-22
-1.397993871	-1.487817e-22	-1.899428e-22
-1.397932836	-1.513789e-22	-1.872612e-22
-1.397871801	-1.539271e-22	-1.845507e-22
-1.397810766	-1.564260e-22	-1.818121e-22
-1.397749731	-1.588757e-22	-1.790463e-22
-1.397688696	-1.612760e-22	-1.762540e-22
-1.397627661	-1.636268e-22	-1.734361e-22
-1.397566625	-1.659282e-22	-1.705935e-22
-1.397505590	-1.681799e-22	-1.677269e-22
-1.397444555	-1.703820e-22	-1.648372e-22
-1.397383520	-1.725344e-22	-1.619250e-22
-1.397322485	-1.746372e-22	-1.589913e-22
-1.397261450	-1.766902e-22	-1.560368e-22
-1.397200414	-1.786935e-22	-1.530623e-22
-1.397139379	-1.806471e-22	-1.500686e-22
-1.397078344	-1.825510e-22	-1.470563e-22
-1.397017309	-1.844052e-22	-1.440264e-22
-1.396956274	-1.862097e-22	-1.409795e-22
-1.396895239	-1.879646e-22	-1.379163e-22
-1.396834204	-1.896700e-22	-1.348377e-22
-1.396773168	-1.913257e-22	-1.317442e-22
-1.396712133	-1.929321e-22	-1.286368e-22
-1.396651098	-1.944890e-22	-1.255160e-22
-1.396590063	-1.959965e-22	-1.223826e-22
-1.396529028	-1.974549e-22	-1.192374e-22
-1.396467993	-1.988641e-22	-1.160809e-22
-1.396406957	-2.002242e-22	-1.129138e-22
-1.396345922	-2.015353e-22	-1.097370e-22
-1.396284887	-2.027977e-22	-1.065510e-22
-1.396223852	-2.040113e-22	-1.033565e-22
-1.396162817	-2.051763e-22	-1.001541e-22
-1.396101782	-2.062929e-22	-9.694461e-23
-1.396040746	-2.073611e-22	-9.372858e-23
-1.395979711	-2.083812e-22	-9.050667e-23
-1.395918676	-2.093532e-22	-8.727953e-23
-1.395857641	-2.102773e-22	-8.404778e-23
-1.395796606	-2.111537e-22	-8.081205e-23
-1.395735571	-2.119825e-22	-7.757296e-23
-1.395674536	-2.127639e-22	-7.433111e-23
-1.395613500	-2.134981e-22	-7.108712e-23
-1.395552465	-2.141853e-22	-6.784159e-23
-1.395491430	-2.148256e-22	-6.459510e-23
-1.395430395	-2.154193e-22	-6.134825e-23
-1.395369360	-2.159665e-22	-5.810161e-23
-1.395308325	-2.164675e-22	-5.485575e-23
-1.395247289	-2.169223e-22	-5.161125e-23
-1.395186254	-2.173314e-22	-4.836866e-23
-1.395125219	-2.176948e-22	-4.512854e-23
-1.395064184	-2.180127e-22	-4.189144e-23
-1.395003149	-2.182855e-22	-3.865790e-23
-1.394942114	-2.185133e-22	-3.542845e-23
-1.394881079	-2.186964e-22	-3.220363e-23
-1.394820043	-2.188349e-22	-2.898397e-23
-1.394759008	-2.189292e-22	-2.576998e-23
-1.394697973	-2.189794e-22	-2.256219e-23
-1.394636938	-2.189858e-22	-1.936109e-23
-1.394575903	-2.189487e-22	-1.616720e-23
-1.394514868	-2.188683e-22	-1.298100e-23
-1.394453832	-2.187448e-22	-9.802998e-24
-1.394392797	-2.185785e-22	-6.633669e-24
-1.394331762	-2.183696e-22	-3.473496e-24
-1.394270727	-2.181185e-22	-3.229543e-25
-1.394209692	-2.178254e-22	2.817489e-24
-1.394148657	-2.174905e-22	5.947369e-24
-1.394087621	-2.171142e-22	9.066230e-24
-1.394026586	-2.166967e-22	1.217362e-23
-1.393965551	-2.162382e-22	1.526908e-23
-1.393904516	-2.157390e-22	1.835219e-23
-1.393843481	-2.151995e-22	2.142249e-23
-1.393782446	-2.146199e-22	2.447956e-23
-1.393721411	-2.140005e-22	2.752296e-23
-1.393660375	-2.133415e-22	3.055227e-23
-1.393599340	-2.126433e-22	3.356708e-23
-1.393538305	-2.119062e-22	3.656697e-23
-1.393477270	-2.111304e-22	3.955154e-23
-1.393416235	-2.103162e-22	4.252038e-23
-1.393355200	-2.094640e-22	4.547308e-23
-1.393294164	-2.085740e-22	4.840927e-23
-1.393233129	-2.076465e-22	5.132855e-23
-1.393172094	-2.066819e-22	5.423054e-23
-1.393111059	-2.056804e-22	5.711486e-23
-1.393050024	-2.046423e-22	5.998113e-23
-1.392988989	-2.035680e-22	6.282898e-23
-1.392927954	-2.024577e-22	6.565804e-23
-1.392866918	-2.013118e-22	6.846796e-23
-1.392805883	-2.001306e-22	7.125838e-23
-1.392744848	-1.989144e-22	7.402894e-23
-1.392683813	-1.976634e-22	7.677928e-23
-1.392622778	-1.963781e-22	7.950907e-23
-1.392561743	-1.950587e-22	8.221797e-23
-1.392500707	-1.937055e-22	8.490563e-23
-1.392439672	-1.923189e-22	8.757172e-23
-1.392378637	-1.908992e-22	9.021592e-23
-1.392317602	-1.894467e-22	9.283790e-23
-1.392256567	-1.879617e-22	9.543734e-23
-1.392195532	-1.864446e-22	9.801392e-23
-1.392134496	-1.848956e-22	1.005673e-22
-1.392073461	-1.833152e-22	1.030973e-22
-1.392012426	-1.817036e-22	1.056034e-22
-1.391951391	-1.800611e-22	1.080854e-22
-1.391890356	-1.783882e-22	1.105431e-22
-1.391829321	-1.766850e-22	1.129761e-22
