# time (s)	h_+ (strain)	h_x (strain)
-1.963301489	2.982696e-22	9.712747e-25
-1.963240454	2.974597e-22	-4.226592e-24
-1.963179418	2.965615e-22	-9.378023e-24
-1.963118383	2.955768e-22	-1.448184e-23
-1.963057348	2.945073e-22	-1.953693e-23
-1.962996313	2.933546e-22	-2.454219e-23
-1.962935278	2.921206e-22	-2.949661e-23
-1.962874243	2.908068e-22	-3.439920e-23
-1.962813207	2.894151e-22	-3.924902e-23
-1.962752172	2.879470e-22	-4.404519e-23
-1.962691137	2.864042e-22	-4.878686e-23
-1.962630102	2.847886e-22	-5.347322e-23
-1.962569067	2.831016e-22	-5.810350e-23
-1.962508032	2.813450e-22	-6.267700e-23
-1.962446996	2.795204e-22	-6.719303e-23
-1.962385961	2.776295e-22	-7.165095e-23
-1.962324926	2.756739e-22	-7.605015e-23
-1.962263891	2.736552e-22	-8.039008e-23
-1.962202856	2.715751e-22	-8.467021e-23
-1.962141821	2.694351e-22	-8.889004e-23
-1.962080786	2.672368e-22	-9.304912e-23
-1.962019750	2.649819e-22	-9.714704e-23
-1.961958715	2.626717e-22	-1.011834e-22
-1.961897680	2.603080e-22	-1.051578e-22
-1.961836645	2.578922e-22	-1.090700e-22
-1.961775610	2.554259e-22	-1.129197e-22
-1.961714575	2.529104e-22	-1.167066e-22
-1.961653539	2.503475e-22	-1.204304e-22
-1.961592504	2.477384e-22	-1.240910e-22
-1.961531469	2.450847e-22	-1.276882e-22
-1.961470434	2.423878e-22	-1.312218e-22
-1.961409399	2.396491e-22	-1.346918e-22
-1.961348364	2.368700e-22	-1.380979e-22
-1.961287329	2.340519e-22	-1.414402e-22
-1.961226293	2.311963e-22	-1.447186e-22
-1.961165258	2.283043e-22	-1.479331e-22
-1.961104223	2.253775e-22	-1.510836e-22
-1.961043188	2.224170e-22	-1.541702e-22
-1.960982153	2.194243e-22	-1.571928e-22
-1.960921118	2.164005e-22	-1.601517e-22
-1.960860082	2.133470e-22	-1.630468e-22
-1.960799047	2.102651e-22	-1.658783e-22
-1.960738012	2.071558e-22	-1.686462e-22
-1.960676977	2.040206e-22	-1.713507e-22
-1.960615942	2.008605e-22	-1.739920e-22
-1.960554907	1.976768e-22	-1.765701e-22
-1.960493871	1.944706e-22	-1.790854e-22
-1.960432836	1.912430e-22	-1.815380e-22
-1.960371801	1.879952e-22	-1.839281e-22
-1.960310766	1.847284e-22	-1.862559e-22
-1.960249731	1.814435e-22	-1.885218e-22
-1.960188696	1.781417e-22	-1.907258e-22
-1.960127661	1.748241e-22	-1.928684e-22
-1.960066625	1.714917e-22	-1.949498e-22
-1.960005590	1.681454e-22	-1.969703e-22
-1.959944555	1.647864e-22	-1.989302e-22
-1.959883520	1.614156e-22	-2.008299e-22
-1.959822485	1.580340e-22	-2.026695e-22
-1.959761450	1.546426e-22	-2.044496e-22
-1.959700414	1.512422e-22	-2.061704e-22
-1.959639379	1.478339e-22	-2.078323e-22
-1.959578344	1.444185e-22	-2.094356e-22
-1.959517309	1.409970e-22	-2.109808e-22
-1.959456274	1.375701e-22	-2.124682e-22
-1.959395239	1.341389e-22	-2.138983e-22
-1.959334204	1.307040e-22	-2.152713e-22
-1.959273168	1.272664e-22	-2.165878e-22
-1.959212133	1.238269e-22	-2.178481e-22
-1.959151098	1.203863e-22	-2.190526e-22
-1.959090063	1.169453e-22	-2.202018e-22
-1.959029028	1.135047e-22	-2.212962e-22
-1.958967993	1.100653e-22	-2.223361e-22
-1.958906957	1.066279e-22	-2.233219e-22
-1.958845922	1.031931e-22	-2.242543e-22
-1.958784887	9.976168e-23	-2.251335e-22
-1.958723852	9.633432e-23	-2.259600e-22
-1.958662817	9.291171e-23	-2.267344e-22
-1.958601782	8.949452e-23	-2.274570e-22
-1.958540746	8.608340e-23	-2.281284e-22
-1.958479711	8.267901e-23	-2.287490e-22
-1.958418676	7.928197e-23	-2.293193e-22
-1.958357641	7.589289e-23	-2.298397e-22
-1.958296606	7.251239e-23	-2.303108e-22
-1.958235571	6.914105e-23	-2.307330e-22
-1.958174536	6.577944e-23	-2.311069e-22
-1.958113500	6.242814e-23	-2.314328e-22
-1.958052465	5.908770e-23	-2.317114e-22
-1.957991430	5.575866e-23	-2.319430e-22
-1.957930395	5.244154e-23	-2.321282e-22
-1.957869360	4.913687e-23	-2.322674e-22
-1.957808325	4.584515e-23	-2.323612e-22
-1.957747289	4.256687e-23	-2.324101e-22
-1.957686254	3.930252e-23	-2.324145e-22
-1.957625219	3.605255e-23	-2.323749e-22
-1.957564184	3.281744e-23	-2.322920e-22
-1.957503149	2.959764e-23	-2.321660e-22
-1.957442114	2.639356e-23	-2.319976e-22
